label,prestige_mean,prestige_sd,total_employed
chef,16.0,0.0,10425563.1026
aide,16.0,0.0,136361780.631
cook,16.0,0.0,117160220.632
medical,16.0,0.0,813529.8528
hosts,16.0,0.0,7893675.5907
dancers,16.0,0.0,1157930.0311
phlebotomist,16.0,0.0,2015236.6118
food,15.516373584432362,5.813678066338893,8279340.9812
attendant,15.479399053574957,4.898624555416308,38534292.9335
pressers,14.999999999999998,1.7763568394002505e-15,6487534.2866
directors,14.999999999999998,1.7763568394002505e-15,1548599.0089
courier,14.999999999999998,1.7763568394002505e-15,15414167.656
maids,14.000000000000002,1.7763568394002505e-15,97941705.419
tour,12.999999999999998,1.7763568394002505e-15,2169062.9527000003
tailors,12.0,0.0,8016927.831999999
models,12.0,0.0,3159105.5402
military,11.0,0.0,1036735.35
dishwasher,11.0,0.0,38314789.6263
waiter,11.0,0.0,106080500.0071
graders,9.000000000000002,1.7763568394002505e-15,2336611.979
animal,9.0,0.0,1302468.5381
lifeguard,8.0,0.0,5083520.425899999
